Kota,Bulan,Suhu_Min,Suhu_Max,Suhu_Rata,Kelembaban,Tekanan_Udara,Kecepatan_Angin,Arah_Angin,Lama_Penyinaran,Curah_Hujan_mm,Intensitas_Hujan
Wonosobo,5,18.3,25.3,21.6,87.8,922.1,3.6,BD,9.7,116.0,Hujan Lebat
Magelang,1,25.0,32.0,27.7,89.6,971.7,2.1,BD,3.6,59.4,Hujan Lebat
Cilacap,5,23.1,32.1,26.0,77.9,1011.9,5.1,TL,5.5,17.8,Hujan Ringan
Cilacap,10,24.3,35.7,30.2,95.5,1012.0,7.3,T,5.1,40.3,Hujan Sedang
Purwokerto,12,23.8,31.1,27.7,95.7,1005.7,3.4,S,7.1,23.0,Hujan Sedang
Solo,3,22.9,34.5,28.1,92.9,999.3,3.8,B,7.6,40.9,Hujan Sedang
Tegal,4,25.7,33.1,28.3,92.9,1017.6,9.9,TG,8.4,43.3,Hujan Sedang
Tegal,7,27.1,32.5,29.6,,1012.9,12.5,BD,9.9,0.0,Tidak Hujan
Purwokerto,1,23.0,,28.1,91.3,1001.1,2.5,S,0.0,82.9,Hujan Lebat
Magelang,4,,31.1,27.9,92.4,967.9,3.5,U,7.4,120.6,Hujan Lebat
Magelang,5,23.0,28.3,25.8,83.1,964.2,9.4,T,10.1,11.6,Hujan Ringan
Wonosobo,10,17.6,23.7,20.4,87.5,926.4,10.7,B,5.9,124.6,Hujan Lebat
Salatiga,12,22.6,29.2,26.0,93.1,960.6,22.9,TL,3.5,71.7,Hujan Lebat
Semarang,5,,35.8,30.3,79.0,1010.5,4.5,TL,7.5,0.0,Tidak Hujan
Wonosobo,8,19.7,23.8,20.8,,923.9,3.1,BD,9.9,48.2,Hujan Sedang
Purwokerto,5,21.9,34.2,28.6,79.7,1000.1,23.0,T,10.7,0.0,Tidak Hujan
Semarang,2,25.9,,31.3,87.0,1016.7,10.5,T,6.2,33.5,Hujan Sedang
Semarang,3,24.5,32.5,28.7,88.5,1012.7,5.9,T,4.1,45.6,Hujan Sedang
Kudus,12,26.2,33.2,29.2,82.7,1014.6,3.4,BD,6.8,49.4,Hujan Sedang
Solo,2,25.8,35.9,31.0,82.7,997.0,16.5,BD,8.9,45.9,Hujan Sedang
Magelang,4,24.0,30.3,27.2,89.6,,7.2,T,3.8,62.9,Hujan Lebat
Pekalongan,11,25.2,31.4,28.0,81.7,1012.6,8.6,TL,6.9,26.7,Hujan Sedang
Magelang,5,21.0,28.5,24.8,81.6,963.2,15.5,U,9.0,14.1,Hujan Ringan
Salatiga,10,22.4,31.6,27.4,89.9,958.5,,B,6.2,73.6,Hujan Lebat
Pekalongan,8,24.5,33.0,29.2,81.4,1011.9,5.0,BL,9.8,0.0,Tidak Hujan
Magelang,12,21.7,28.9,26.1,96.4,968.5,2.5,B,8.0,105.8,Hujan Lebat
Tegal,1,22.8,34.8,29.2,84.6,1009.4,6.1,BD,6.2,27.1,Hujan Sedang
Kudus,5,24.5,32.1,28.1,73.9,1008.8,15.6,B,6.9,0.0,Tidak Hujan
Tegal,5,25.7,33.1,29.5,79.4,1011.1,8.6,U,6.9,0.0,Tidak Hujan
Tegal,10,26.3,32.1,28.9,81.0,1013.6,3.7,B,0.0,43.0,Hujan Sedang
Kudus,5,25.9,33.0,29.9,67.6,1009.0,6.8,TL,3.7,0.0,Tidak Hujan
Tegal,2,28.1,32.3,30.1,86.8,1014.0,5.2,S,6.3,48.2,Hujan Sedang
Purwokerto,3,23.7,32.0,28.1,93.5,1005.7,3.2,T,6.0,35.7,Hujan Sedang
Cilacap,9,23.9,33.6,28.6,89.5,1010.9,4.2,B,3.5,12.0,Hujan Ringan
Semarang,1,26.3,30.0,27.0,93.2,,9.1,TG,3.2,38.6,Hujan Sedang
Cilacap,7,25.2,33.7,29.2,84.9,1014.2,6.1,TL,6.2,0.0,Tidak Hujan
Kudus,4,27.7,31.6,31.2,84.9,1004.5,10.9,T,4.2,40.8,Hujan Sedang
Cilacap,10,23.3,30.3,25.9,98.5,1014.2,3.0,S,4.9,23.0,Hujan Sedang
Semarang,8,27.6,,31.1,80.2,1013.3,7.6,BD,5.7,0.0,Tidak Hujan
Tegal,9,25.1,34.4,31.0,80.6,1011.4,4.4,TG,7.7,0.0,Tidak Hujan
Wonosobo,9,18.2,25.1,20.9,73.1,922.8,2.2,T,9.6,25.3,Hujan Sedang
Pekalongan,4,25.8,32.6,29.7,77.8,1010.2,21.5,U,6.0,17.4,Hujan Ringan
Tegal,1,23.9,31.5,27.0,76.4,1011.5,5.8,U,7.3,10.0,Hujan Ringan
Tegal,3,26.9,29.2,27.0,79.8,1010.0,3.2,S,5.4,15.3,Hujan Ringan
Wonosobo,10,18.6,27.9,23.9,84.1,920.5,6.2,BL,3.8,130.0,Hujan Lebat
Purwokerto,3,22.0,,27.2,88.1,1006.2,12.6,TG,5.9,24.2,Hujan Sedang
Pekalongan,2,25.2,30.9,28.5,86.1,1011.5,3.8,TL,7.1,21.0,Hujan Sedang
Cilacap,5,25.6,31.2,28.9,81.2,,7.0,T,8.5,0.0,Tidak Hujan
Semarang,2,28.1,34.5,31.0,83.9,1009.4,3.9,T,5.2,35.9,Hujan Sedang
Wonosobo,4,17.6,26.5,22.0,82.1,921.0,2.9,T,5.6,137.4,Hujan Lebat
Tegal,2,27.2,34.7,30.0,79.6,1011.3,3.1,T,5.1,2.7,Hujan Ringan
Purwokerto,10,24.5,31.3,28.3,97.5,1004.1,,BD,6.1,71.5,Hujan Lebat
Cilacap,4,24.5,31.8,28.3,85.8,,4.6,U,4.3,40.7,Hujan Sedang
Wonosobo,9,19.3,25.7,22.8,91.9,924.0,4.7,TG,4.9,146.2,Hujan Lebat
Semarang,10,25.8,36.4,31.4,92.4,1014.7,8.1,BL,6.9,34.7,Hujan Sedang
Wonosobo,9,19.0,26.8,23.0,80.6,919.7,17.5,TL,10.1,43.9,Hujan Sedang
Cilacap,7,25.8,28.1,27.6,89.5,1014.8,5.9,T,4.0,7.5,Hujan Ringan
Pekalongan,7,24.6,32.1,29.1,80.0,1015.4,15.0,TL,,8.9,Hujan Ringan
Purwokerto,10,23.0,29.7,27.6,86.7,1002.7,2.6,B,2.0,42.1,Hujan Sedang
Semarang,3,23.3,33.1,28.4,89.7,1008.7,16.5,B,6.3,31.5,Hujan Sedang
Tegal,4,26.4,32.9,29.6,89.4,1010.1,30.4,T,5.8,45.1,Hujan Sedang
Kudus,5,24.8,32.2,28.7,78.5,1007.8,6.4,TG,9.1,0.0,Tidak Hujan
Wonosobo,3,,28.1,24.0,93.1,920.7,6.6,U,3.6,136.0,Hujan Lebat
Salatiga,8,21.1,29.2,25.3,86.7,962.0,2.5,BL,12.0,1.1,Hujan Ringan
Magelang,10,23.2,30.6,26.9,97.2,968.9,8.5,BL,6.7,76.7,Hujan Lebat
Kudus,8,25.7,34.7,30.6,78.5,1013.6,7.8,BD,10.3,0.0,Tidak Hujan
Magelang,11,22.5,31.3,26.6,95.2,972.5,3.8,TL,5.7,111.7,Hujan Lebat
Semarang,9,23.9,34.6,29.6,88.8,1011.9,10.6,TL,8.4,17.0,Hujan Ringan
Magelang,6,22.7,31.1,26.8,82.0,967.6,7.2,U,8.3,2.4,Hujan Ringan
Solo,2,27.2,,28.6,91.9,1004.9,3.7,B,4.1,28.2,Hujan Sedang
Cilacap,1,25.8,32.4,29.5,88.5,1010.7,2.8,T,,24.5,Hujan Sedang
Magelang,5,21.0,33.0,27.4,83.0,966.8,2.2,U,6.7,36.9,Hujan Sedang
Tegal,12,25.5,32.9,29.6,89.6,1014.0,7.9,BL,6.2,47.4,Hujan Sedang
Wonosobo,3,18.3,24.5,20.7,98.0,918.7,3.1,BD,5.6,76.9,Hujan Lebat
Tegal,8,24.7,30.4,27.3,65.9,1008.9,9.1,U,9.5,0.0,Tidak Hujan
Salatiga,8,22.9,31.1,26.8,85.2,956.6,4.5,BL,7.8,7.2,Hujan Ringan
Solo,1,24.5,31.8,27.6,83.6,1006.6,11.7,TL,6.3,40.1,Hujan Sedang
Tegal,11,27.2,35.3,30.5,90.3,1016.1,7.7,B,6.1,46.8,Hujan Sedang
Cilacap,6,24.0,34.2,29.3,93.9,1011.6,2.4,B,8.4,10.1,Hujan Ringan
Purwokerto,10,23.1,28.5,26.1,91.9,1003.0,3.1,BD,4.8,26.9,Hujan Sedang
Tegal,9,24.2,33.2,28.0,75.6,1009.5,13.0,U,7.3,0.0,Tidak Hujan
Wonosobo,8,16.3,,19.9,97.0,922.2,14.4,TL,11.6,115.5,Hujan Lebat
Purwokerto,3,22.4,29.5,25.6,78.6,1003.2,11.0,TG,6.2,25.4,Hujan Sedang
Solo,7,24.0,32.6,27.9,76.3,1006.1,7.2,TG,4.7,4.1,Hujan Ringan
Salatiga,9,23.1,29.4,26.3,84.5,956.3,3.6,B,,2.4,Hujan Ringan
Wonosobo,10,17.4,27.1,23.3,88.7,919.2,7.6,B,2.0,97.5,Hujan Lebat
Semarang,8,25.9,35.4,30.5,79.9,1011.8,2.4,B,6.9,0.0,Tidak Hujan
Wonosobo,1,18.3,24.9,21.5,97.2,921.0,3.0,S,5.0,118.6,Hujan Lebat
Solo,9,25.9,33.3,30.1,62.5,1007.3,2.9,BL,7.7,0.0,Tidak Hujan
Cilacap,2,24.9,30.6,27.4,99.0,1012.1,9.1,B,5.4,87.4,Hujan Lebat
Solo,2,26.0,33.3,29.4,85.3,1002.6,8.8,T,5.9,44.8,Hujan Sedang
Magelang,9,22.9,29.4,26.1,85.6,969.3,7.0,U,8.8,13.4,Hujan Ringan
Kudus,4,26.3,33.9,30.5,87.2,1014.1,2.8,BD,4.5,29.9,Hujan Sedang
Semarang,12,26.9,36.5,32.1,75.2,1015.3,5.5,BD,9.5,12.5,Hujan Ringan
Wonosobo,2,15.8,25.5,20.7,99.0,921.3,,TG,5.0,102.7,Hujan Lebat
Cilacap,11,25.0,33.1,28.9,93.0,1012.1,2.6,S,6.1,35.7,Hujan Sedang
Purwokerto,8,24.6,29.1,26.4,86.7,1002.0,3.2,B,7.6,16.2,Hujan Ringan
Pekalongan,8,24.1,33.6,28.8,83.0,1014.0,2.7,S,3.4,16.6,Hujan Ringan
Kudus,12,24.2,32.0,27.4,92.7,1007.8,11.1,TL,3.6,135.1,Hujan Lebat
Pekalongan,10,25.5,33.8,29.5,81.4,1011.7,14.2,U,3.8,22.9,Hujan Sedang
Magelang,3,23.7,33.8,28.5,85.2,968.3,,T,10.2,117.6,Hujan Lebat
Wonosobo,6,20.6,25.9,23.4,93.0,924.1,10.9,TG,7.5,139.4,Hujan Lebat
Purwokerto,9,22.2,30.4,26.0,81.0,1002.5,11.7,T,8.1,6.2,Hujan Ringan
Tegal,2,,34.3,28.4,85.1,1012.5,4.7,T,3.9,34.0,Hujan Sedang
Tegal,6,25.9,33.3,29.9,73.4,1013.3,,U,,0.0,Tidak Hujan
Semarang,12,25.5,,29.3,84.6,1014.8,3.7,BD,6.5,38.7,Hujan Sedang
Solo,8,24.2,33.3,29.0,79.9,999.4,4.7,S,6.2,5.5,Hujan Ringan
Semarang,11,24.8,34.7,30.0,83.3,1016.9,5.0,TG,8.8,23.5,Hujan Sedang
Solo,3,25.2,35.8,30.1,87.2,1003.5,4.3,T,4.0,40.8,Hujan Sedang
Solo,4,25.7,33.0,29.0,98.1,,2.9,BL,1.8,67.5,Hujan Lebat
Purwokerto,3,22.2,31.0,26.3,89.1,1004.6,22.3,BL,6.1,48.1,Hujan Sedang
Cilacap,2,25.1,31.5,27.5,97.3,1015.4,3.3,U,1.0,49.8,Hujan Sedang
Tegal,9,23.7,32.8,27.9,75.2,1015.2,8.0,BL,11.0,0.0,Tidak Hujan
Pekalongan,12,25.9,30.6,27.0,91.7,1009.4,4.8,TG,4.6,25.3,Hujan Sedang
Kudus,5,25.0,32.7,28.7,75.9,1013.1,2.9,B,,0.0,Tidak Hujan
Magelang,10,21.3,30.5,24.9,,965.6,4.4,TG,4.9,131.1,Hujan Lebat
Cilacap,6,24.8,32.0,28.6,83.8,1013.4,3.8,BL,7.7,0.0,Tidak Hujan
Pekalongan,2,23.7,29.6,26.8,85.7,1015.3,2.7,TG,4.7,40.4,Hujan Sedang
Tegal,9,26.2,35.0,30.5,78.5,1012.9,4.9,B,6.9,0.0,Tidak Hujan
Cilacap,3,22.9,33.0,28.5,94.6,1015.0,7.9,TL,3.5,20.3,Hujan Sedang
Cilacap,4,25.0,34.0,29.2,91.2,1016.2,10.3,BL,8.6,24.7,Hujan Sedang
Wonosobo,1,17.2,23.6,21.4,89.5,921.9,15.1,BL,4.4,117.1,Hujan Lebat
Pekalongan,7,25.8,31.6,29.3,78.3,1015.0,8.4,T,9.5,0.0,Tidak Hujan
Kudus,11,25.4,30.4,27.6,85.6,1009.4,22.1,B,5.5,45.2,Hujan Sedang
Kudus,11,26.0,34.3,29.7,85.2,1013.4,5.4,BL,5.4,20.3,Hujan Sedang
Semarang,12,25.2,32.2,28.4,88.9,1016.8,7.7,T,5.8,31.3,Hujan Sedang
Salatiga,4,23.2,29.9,26.7,94.6,962.2,10.5,B,7.2,137.7,Hujan Lebat
Magelang,10,21.5,27.4,24.7,93.7,964.3,5.2,BL,7.9,52.9,Hujan Lebat
Cilacap,12,23.5,36.0,29.5,91.9,1016.4,6.9,BD,9.0,38.0,Hujan Sedang
Purwokerto,12,23.5,33.5,29.1,86.8,1006.8,6.4,BL,6.4,23.7,Hujan Sedang
Semarang,7,24.7,31.5,28.5,82.4,1010.5,8.1,TG,6.9,3.2,Hujan Ringan
Kudus,12,26.4,30.1,27.6,85.7,1007.4,2.2,U,2.7,37.6,Hujan Sedang
Kudus,1,24.3,31.0,26.9,70.0,1012.6,9.3,TL,4.8,14.8,Hujan Ringan
Solo,3,,32.1,29.1,87.3,999.6,10.4,BL,5.6,20.4,Hujan Sedang
Tegal,12,24.1,31.8,27.4,76.3,1011.7,3.0,TG,6.4,2.2,Hujan Ringan
Wonosobo,11,18.6,24.8,20.8,89.9,923.0,6.9,B,5.2,132.8,Hujan Lebat
Tegal,9,25.7,33.2,29.7,74.5,1011.5,4.2,S,5.9,0.0,Tidak Hujan
Salatiga,9,20.8,29.6,25.4,94.6,962.8,11.4,U,3.4,22.5,Hujan Sedang
Kudus,2,,32.9,28.0,94.1,1015.3,6.7,BL,2.9,23.4,Hujan Sedang
Wonosobo,3,17.7,25.3,21.3,90.2,922.7,3.4,S,8.2,66.2,Hujan Lebat
Salatiga,8,22.9,29.7,26.2,99.0,961.1,12.4,TL,6.5,33.2,Hujan Sedang
Tegal,12,23.0,33.5,28.4,92.8,1015.9,5.0,BL,6.1,35.6,Hujan Sedang
Cilacap,6,23.4,33.7,28.4,81.0,1010.2,5.5,BD,8.8,17.3,Hujan Ringan
Salatiga,12,20.8,31.5,26.1,94.5,961.2,4.3,TG,3.8,92.7,Hujan Lebat
Pekalongan,11,24.1,33.2,28.4,80.7,1014.0,2.7,TG,4.5,34.1,Hujan Sedang
Salatiga,5,22.7,28.9,25.8,90.2,959.2,2.5,U,7.4,24.3,Hujan Sedang
Salatiga,3,23.7,29.3,27.1,99.0,,5.8,B,4.1,53.1,Hujan Lebat
Solo,2,23.7,33.6,29.1,83.1,1000.6,2.4,U,,39.6,Hujan Sedang
Cilacap,12,25.0,31.3,28.6,92.7,1008.6,3.5,S,2.1,88.0,Hujan Lebat
Cilacap,1,23.9,32.8,28.1,94.8,1013.0,11.8,TG,5.6,38.6,Hujan Sedang
Salatiga,11,22.5,33.2,27.5,99.0,959.4,2.4,U,4.4,51.2,Hujan Lebat
Tegal,4,,30.8,28.0,80.7,1015.3,15.4,B,8.4,11.1,Hujan Ringan
Semarang,12,25.6,35.2,29.9,87.2,1015.1,14.7,U,6.0,40.8,Hujan Sedang
Tegal,12,25.1,34.5,29.6,81.6,,19.8,BD,4.3,41.1,Hujan Sedang
Cilacap,7,23.0,32.2,27.5,71.0,1013.6,7.5,B,8.3,0.0,Tidak Hujan
Tegal,7,26.3,32.9,30.0,79.0,1012.4,5.6,S,4.8,0.0,Tidak Hujan
Tegal,3,23.7,29.3,27.0,97.8,1013.6,4.0,B,5.6,37.2,Hujan Sedang
Wonosobo,11,17.8,27.8,22.9,99.0,922.9,2.2,BL,7.0,149.3,Hujan Lebat
Semarang,8,23.3,31.1,27.3,80.5,1008.7,12.4,B,9.8,0.0,Tidak Hujan
Magelang,8,23.5,31.3,27.8,78.0,970.0,2.6,B,10.2,15.3,Hujan Ringan
Semarang,12,25.2,,28.9,88.2,1009.9,7.4,TL,7.8,24.2,Hujan Sedang
Salatiga,9,21.4,29.3,26.0,88.8,963.5,30.4,TL,8.2,9.0,Hujan Ringan
Purwokerto,11,26.7,30.8,27.8,93.7,1006.6,13.2,BD,7.6,32.1,Hujan Sedang
Pekalongan,9,26.0,31.8,29.6,77.7,1013.5,16.9,B,8.5,0.0,Tidak Hujan
Wonosobo,11,20.4,27.7,23.6,99.0,921.8,2.9,BL,2.6,144.7,Hujan Lebat
Purwokerto,10,25.1,33.6,29.1,89.0,1000.2,8.8,S,3.4,45.3,Hujan Sedang
Tegal,12,24.1,33.4,28.2,86.5,1012.6,17.6,T,4.7,20.7,Hujan Sedang
Magelang,10,22.4,30.8,26.7,96.5,964.7,4.5,TG,2.0,97.8,Hujan Lebat
Solo,6,25.6,32.1,29.4,74.7,999.9,6.2,B,9.1,0.0,Tidak Hujan
Pekalongan,4,26.0,30.1,28.0,81.5,1012.3,,U,9.7,6.7,Hujan Ringan
Kudus,9,24.8,35.2,29.7,78.3,1012.0,16.2,B,9.5,0.0,Tidak Hujan
Magelang,2,22.8,33.2,27.8,93.4,966.9,14.6,TG,6.7,144.9,Hujan Lebat
Wonosobo,12,19.9,26.4,22.3,99.0,920.2,10.6,B,3.7,141.9,Hujan Lebat
Purwokerto,2,24.1,32.0,27.0,,,,T,8.4,3.1,Hujan Ringan
Cilacap,1,22.5,33.6,27.7,85.6,1014.8,17.9,BD,6.6,40.8,Hujan Sedang
Wonosobo,5,19.9,25.7,22.4,83.6,921.1,2.1,U,9.7,39.0,Hujan Sedang
Magelang,8,22.7,30.7,26.4,85.6,972.4,4.0,TG,6.6,2.3,Hujan Ringan
Purwokerto,8,23.6,31.3,27.5,85.0,1003.3,6.2,TL,7.6,10.1,Hujan Ringan
Solo,2,,34.7,30.6,83.3,998.1,3.0,B,,29.6,Hujan Sedang
Magelang,7,23.3,28.6,26.0,85.4,971.9,,U,5.4,46.0,Hujan Sedang
Wonosobo,10,18.8,28.4,23.8,99.0,918.5,4.2,B,4.6,102.0,Hujan Lebat
Pekalongan,8,24.8,30.1,27.1,77.0,1011.5,10.3,B,8.3,0.0,Tidak Hujan
Semarang,10,26.3,34.9,31.0,87.0,1010.2,4.5,TG,9.9,29.5,Hujan Sedang
Salatiga,1,22.0,28.2,25.2,98.3,955.6,18.5,T,2.6,118.7,Hujan Lebat
Wonosobo,1,17.5,27.1,22.6,93.2,921.0,2.8,TG,3.3,79.8,Hujan Lebat
Magelang,4,23.2,32.3,27.7,89.7,968.5,5.4,B,6.2,113.4,Hujan Lebat
Purwokerto,12,23.8,29.5,27.5,86.9,1006.8,9.9,BD,4.3,40.3,Hujan Sedang
Solo,9,25.3,31.4,27.9,82.6,999.1,9.5,BD,11.3,0.0,Tidak Hujan
Magelang,12,22.6,30.0,26.6,94.9,966.2,9.0,S,5.2,83.7,Hujan Lebat
Kudus,1,24.7,31.5,26.8,83.0,1016.9,2.1,T,6.6,21.2,Hujan Sedang
Wonosobo,6,18.2,28.8,23.1,83.4,920.5,4.9,U,8.3,28.0,Hujan Sedang
Magelang,9,22.6,32.8,27.1,,969.0,13.3,U,8.1,16.8,Hujan Ringan
Pekalongan,9,23.7,31.8,27.9,79.7,1011.2,2.4,TG,12.0,0.0,Tidak Hujan
Wonosobo,8,18.5,26.8,22.0,83.9,921.5,7.8,TL,7.4,77.6,Hujan Lebat
Magelang,8,20.9,32.9,26.3,88.2,970.1,4.1,TG,7.5,21.8,Hujan Sedang
Solo,10,23.8,35.9,29.0,85.9,1007.1,2.5,BD,5.0,42.8,Hujan Sedang
Wonosobo,3,18.3,24.7,21.7,96.9,922.5,3.8,U,5.7,67.6,Hujan Lebat
Kudus,6,25.6,34.1,30.5,71.0,1012.2,22.5,BL,7.8,0.0,Tidak Hujan
Tegal,4,26.1,31.3,28.2,88.4,1016.6,,U,5.7,43.5,Hujan Sedang
Wonosobo,11,18.6,24.5,21.2,98.8,921.0,15.5,S,2.1,78.9,Hujan Lebat
Tegal,7,23.6,30.8,27.3,78.8,1013.1,4.7,TL,9.2,0.0,Tidak Hujan
Cilacap,5,25.9,30.3,27.7,80.0,1008.7,2.2,TL,8.1,3.8,Hujan Ringan
Tegal,9,25.3,34.1,30.7,70.2,1016.9,4.0,TG,8.2,0.0,Tidak Hujan
Pekalongan,7,,34.5,29.8,81.7,1013.1,3.4,BL,,0.0,Tidak Hujan
Purwokerto,7,23.6,31.0,26.6,77.3,1004.2,2.6,T,10.1,0.0,Tidak Hujan
Cilacap,2,23.4,34.0,28.7,97.6,1011.0,4.1,S,,23.8,Hujan Sedang
Salatiga,9,21.0,30.0,26.2,80.8,958.9,2.1,TG,6.8,1.0,Hujan Ringan
Cilacap,12,25.5,30.8,27.6,99.0,1014.0,15.6,S,7.8,44.5,Hujan Sedang
Salatiga,11,,28.7,25.1,93.7,957.1,10.4,BL,1.4,128.1,Hujan Lebat
Salatiga,1,22.6,27.5,25.6,88.0,959.3,6.3,U,5.5,147.2,Hujan Lebat
Tegal,2,26.5,34.7,31.0,85.6,1015.6,13.9,U,6.8,2.0,Hujan Ringan
Salatiga,6,22.3,31.0,26.9,93.4,960.3,4.9,B,9.3,31.6,Hujan Sedang
Cilacap,2,24.5,31.7,28.6,92.8,1012.9,6.2,BD,3.2,49.0,Hujan Sedang
Purwokerto,5,25.7,31.6,28.5,83.3,1005.0,5.0,T,10.8,16.4,Hujan Ringan
Cilacap,12,25.0,31.6,28.8,,1014.3,7.1,BL,2.3,112.8,Hujan Lebat
Cilacap,8,24.3,31.2,27.2,77.5,1015.7,4.4,U,5.0,0.0,Tidak Hujan
Magelang,6,21.6,28.6,25.0,80.9,967.3,3.4,B,8.4,13.2,Hujan Ringan
Kudus,7,23.6,33.8,29.5,73.5,1010.2,3.9,TL,,0.0,Tidak Hujan
Tegal,10,25.7,33.1,29.5,81.3,1013.0,3.3,TG,5.8,30.4,Hujan Sedang
Pekalongan,11,25.3,36.5,31.3,93.8,1017.5,2.9,B,6.0,22.3,Hujan Sedang
Kudus,4,24.3,32.6,29.3,90.7,1007.6,2.1,T,6.7,36.9,Hujan Sedang
Salatiga,1,22.8,32.4,26.8,93.8,960.0,7.7,T,3.0,138.3,Hujan Lebat
Tegal,6,23.5,35.3,29.5,75.5,1014.5,6.7,T,7.7,0.0,Tidak Hujan
Cilacap,9,23.7,32.8,27.8,82.3,1013.3,5.4,B,,0.0,Tidak Hujan
Salatiga,11,21.8,29.7,26.5,99.0,962.3,2.6,U,3.1,55.0,Hujan Lebat
Cilacap,1,23.4,30.9,28.0,89.5,1016.6,2.5,BL,7.0,46.5,Hujan Sedang
Purwokerto,4,23.6,32.6,28.3,83.8,1006.6,6.4,T,6.8,32.8,Hujan Sedang
Kudus,11,22.9,33.4,28.6,,1013.7,5.6,S,6.3,39.1,Hujan Sedang
Kudus,10,28.9,32.9,31.1,81.6,1010.9,11.2,TL,0.0,29.0,Hujan Sedang
Pekalongan,11,25.8,32.8,29.4,85.1,1017.2,3.8,BD,,35.5,Hujan Sedang
Semarang,10,26.5,34.3,31.1,84.8,1017.3,3.8,S,1.0,44.9,Hujan Sedang
Salatiga,7,22.5,29.0,26.0,91.2,956.8,3.6,U,6.4,31.8,Hujan Sedang
Purwokerto,3,,28.3,26.2,91.1,1003.2,5.2,B,0.9,66.0,Hujan Lebat
Magelang,7,23.2,29.1,25.9,82.5,971.0,6.3,BD,9.8,7.6,Hujan Ringan
Wonosobo,3,17.6,24.6,21.0,93.5,928.5,3.7,B,5.9,76.8,Hujan Lebat
Kudus,12,25.3,,29.9,81.5,1011.8,5.2,TL,6.6,10.5,Hujan Ringan
Purwokerto,6,23.1,,27.4,83.5,1006.3,5.5,BL,8.0,4.9,Hujan Ringan
Magelang,10,22.3,30.8,25.2,,968.4,6.9,S,3.5,121.5,Hujan Lebat
Salatiga,6,22.1,32.4,27.4,86.9,960.2,4.4,U,10.4,35.3,Hujan Sedang
Purwokerto,2,23.0,27.7,25.3,89.0,1002.2,2.3,BD,3.7,36.3,Hujan Sedang
Cilacap,12,24.6,32.3,28.8,76.4,1010.7,9.8,BL,4.8,8.0,Hujan Ringan
Cilacap,11,25.7,33.7,29.6,99.0,,2.4,BL,8.0,36.4,Hujan Sedang
Pekalongan,10,25.6,31.4,29.3,81.5,1009.9,3.0,BL,1.8,37.9,Hujan Sedang
